Summary,Dominant Topic
"demonstration , u.s. army flyer flown orville wright nose-dived ground height approximately 75 , killing lt. thomas e. selfridge passenger . first recorded airplane fatality history . one two propellers separated , tearing loose wires bracing rudder causing loss control . orville wright suffered broken ribs , pelvis leg . selfridge suffered crushed skull died short time later .",3
"first u.s. dirigible akron exploded offshore altitude 1,000 ft. test .",1
"first fatal airplane accident canada occurred american barnstormer , john m. bryant , california aviator killed .",9
airship flew thunderstorm encountered severe downdraft crashing 20 north helgoland island . ship broke two control car immediately sank drowning occupants .,3
"hydrogen gas vented sucked forward engine ignited causing airship explode burn 3,000 ..",6
trees attempting land shot british french .,8
"exploded burned near neuwerk island , hydrogen gas , vented , ignited lightning .",3
"near black , cause unknown .",7
shot british crashing flames .,8
shot flames british 39th home defence squadron .,3
storm .,1
shot british anti-aircraft fire north .,7
caught fire .,2
struck lightning baltisea .,7
"altitude 3,000 ft. hit british fire .",1
shot british .,8
shot british .,8
shot french anti-aircraft fire .,2
exploded southern coast italy .,8
"shot british crashing height 17,000 .",8
shot british .,8
caught fire midair . pilot leaped death began go dive .,2
landing .,3
tree take fog .,7
due structural failure followed two explosions fire . attributed faulty design .,3
making approach le bourget airport paris .,2
le bourget field .,2
height ft. experiencing control problems cause malfunctioning controls .,9
"midair collision occurred poor visibility approximately 18 north beauvais , france . first commercial midair collision aviation history . two killed havilland , five faman f-60 .",3
seventeen aboard chinese nationals .,0
"toulon , france algiers , algeria . last known radio contact reported ship nearly fuel battling strong winds . struck lightning .",3
"shortly taking , witnesses observed puff white smoke nose-dived ground . fuel starvation . captain stewart seven passengers killed attempted forced landing .",7
poor weather .,1
"shenandoah flying southern ohio abruptly encountered violent atmosphericonditions ( thunderstorms ) . powerful air currents buffeted severely crew unable maintain control . rising rapidly pressure height , falling rising , hull structure overstressed amidships , breaking airship two . shenandoah 's external control car two engine cars fell free , carrying dirigible 's commanding officer several men deaths . stern section came nearby , several men able fly bow section ground free balloon .",1
.,7
weather related .,1
adverse weather conditions . engine failure .,1
much weight caused landing gear collapse took paris first trans-atlantipassenger .,0
"london paris power lost starboard engine . began lose altitude eventually ditched 18 english coast . stayed afloat long enough fishing boat invicta , piloted captain marshall , rescue aboard . named prince henry .",3
stalled low altitiude approach land,8
unsuccessful attempt fly strong headwinds . engine quit nosedived ground .,0
engine failure .,3
engine failure .,3
"broken wire led partial loss rudder crash landing resulted striking tree , killing engineer .",3
sightseeing took rose 400 ft. engine failed . stalled plunged ground apple orchard . engine failure . pilot familiar type .,2
broken wing strut .,2
went tailspin corn field,9
became lost dense fog flew ground mohawk valley proceeding buffalo ..,6
air mail grove cottonwood trees burned . businessman f.h . craig killed pilot frank yegar injured . pilot descended altitude due air pockets.the ran air pocket brought grove trees .,8
fog .,0
pilot error .,1
mail flew tornado like winds ground .,9
ground shortly taking killing two men two women .,0
waalhaven harbor .,3
puget sound dense fog . considered first canadian air disaster .,6
"following conclusion aerial tour carrying sir john salmond , departed adelaide piloted c. w. a. scott engineer passenger . control lost cloud attempt cross adelaide hills ; caught fire .",4
engine failure .,3
mail burned night .,7
mail heavy snow storm .,7
mail snow storm .,7
mail heavy snow storm,7
burned . flames seen aboard .,9
"seaplane took form bay narrowly avoided collision another process veered sharply abruptly one wings strained beyond elastilimits . pilot lost control fell , tail spinning 300 water one engines exploded impact . sunk immediately .",6
's wingtip struck water bay .,3
weather related .,1
mail apple tree snow storm .,7
onto roof garage takeoff burst flames . motor may warmed- enough .,1
high ground fog .,8
attempting make emergency landing minam river hit bolder,0
making last number sightseeing flights one 's three engines failed . went control altitude ft. railroad freight car . engine failure .,3
"high mountain ridge , exploding impact . investigators speculated upon encountering fog winds treacherous mountain pass , pilot may turned airliner around heading back airport crash occurred .",8
"midair collision occurred us air force boeing pw-9d 2,000 ft. five killed tri-motor , one boeing . army pilot lieutenant howard keefer , flying airliner , stunting performed steep banking turn downward , attempt pass front airliner . instead , misjudged speed maddux diving struck cockpit ford tri-motor . found criminally negligent .",9
taking . muddy field prevented gaining altitude . hit telephone wires .,7
english channel engine failed . pilot tried return airport ditched english channel . named 'city ottawa . ',2
near indian mounds park shortly taking . triple engine failure .,3
lake constance attempting landing .,1
going tail spin . mechaniwas able parachute safety .,9
thunderstorm struck lightning . named 'the city san francisco . ',7
mail caught fire crash landing .,2
mediterranean .,7
mail hillside desert attempting make emergency landing storm .,7
mail . lamentation burst flames .,1
ditched ocean encountering gale force winds . sank tow . named 'city rome . ',2
mail grove trees 8 southwest mount vernon .,8
air taxi puget sound attempted take .,8
mail dense fog .,0
heavy rain fog attempting land .,1
mediterranean fog .,7
mail fog bound tower interstate bridge spanning columbia river .,7
mail storm .,7
forced landing 40 berlin .,3
approach onto golf course .,1
airmail crash landed burst flames farm fog snow attempting make emergency landing .,3
"los angeles , pilot , flying low altitude due poor weather conditions tried turn back . left turn left wing struck hill , burned . adverse weather conditions . flew sudden squall cause pilot lose control .",8
"preparing land , side slipped dived ground height ft. caught fire . quickly bodies removed , hastily mustered crew pilots mechanics universal airlines central airlines , began removing evidence accident , savagely fighting reporters photographers worked .",0
attempting land struck building fell connecticut river .,7
power lines 150 ground fog .,0
boston harbor loosing right engine takeoff .,1
"flying boat landed storm open ocean due engine failure . three hours , capsized large wave .",3
"exploded air altitude 4,000 shortly taking . flying area fog thunderstorms .",0
"pilot attempted make emergency landing fog , storm .",3
air mail fog .,7
"airship inaugural cardington , england karachi , ( pakistan ) . storm first night , suddenly nosedived , leveled briefly , dived crashing burning . preparations rushed political reasons full-speed test . wind rain , outer cover split open front two forward gasbags ruptured simultaneously . dropping ballast raised nose , also dynamilift , promptly lost speed reduced , presumably save remaining gasbags .",3
hill attempting land .,8
french postal mountains .,7
high ground fog losing engine . named 'city washington . ',1
developing engine trouble pilot tried parachute parachute got caught pilot dragged death .,2
.,7
"mountainside altitude 4,500 snowstorm .",7
lower right wing hit mast river boat flipped back onto river bank . named 'shanghai ' .,2
mail flew bluff mountain dense fog .,7
"carrying mail , field , turned burst flames . heavy fog area accident .",9
wreckage found 10/26/1958 .,7
"shortly taking kansas city , one 's wing 's separated penetrating thunderstorm experiencing strong turbulence icing . wheat field . wing-aileron flutter , brought moisture leaking wing 's interior , weakening glue bonded wooden spars . notre dame football coach , knute rockne , 43 , killed .",9
fuselage failure . four seriously injured pilot radio operator killed .,9
mail las tunas canyon attempting land burbank airport dense fog .,0
mountain burned poor visibility .,1
trees fell river 50 km south sandoway experiencing engine trouble attempting land sandoway poor visibility monsoon conditions .,0
wing buckled attempting land .,8
"circling fog half hour , rose 300 ft. nose dived ground burst flames . engine failure .",3
engine quit taking . height 700 . pilot tried return airport banking right sufficient altitude recover .,3
caught fire mid air .,8
